Reason,Source,Validation,Pages
Alternate page with proper canonical tag,Website,Not Started,645
Duplicate without user-selected canonical,Website,Not Started,156
Not found (404),Website,Not Started,121
Page with redirect,Website,Not Started,75
Excluded by ‘noindex’ tag,Website,Not Started,5
Crawled - currently not indexed,Google systems,Not Started,83
Redirect error,Website,N/A,0
Blocked by robots.txt,Website,N/A,0
Discovered - currently not indexed,Google systems,Passed,20
